Location,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Wrap,Cost,Reviewer,Rec,overall
los cabos,3.0,4.0,4.5,3.0,3.5,4.0,3.5,2.5,4.5,5.69,emily,Yes,4.0
rubios ucsd,3.5,1.5,4.0,3.0,3.0,1.5,4.5,2.5,1.5,7.99,scott,No,3.2
lucha libre north park,4.0,3.0,2.5,3.0,3.0,3.0,3.0,3.5,3.0,8.25,hannah,Yes,3.0
lucha libre north park,3.0,5.0,3.0,5.0,4.0,2.0,2.0,5.0,2.0,8.25,tammy,No,2.0
lucha libre north park,3.9,2.1,1.9,2.6,2.4,2.9,3.2,4.0,3.0,8.25,bankole,No,2.4
lucha libre north park,4.0,3.0,2.5,2.0,2.8,3.5,3.5,4.0,4.0,8.25,melissa n,No,2.2
lucha libre north park,3.0,3.0,3.0,4.0,3.5,3.0,2.0,3.5,4.0,8.25,emily,Yes,3.9
lucha libre north park,4.0,3.5,2.0,4.0,3.0,5.0,5.0,4.0,5.0,8.25,melissa g,Yes,3.5
lucha libre north park,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,8.25,marc,Yes,3.0
lucha libre north park,1.0,3.0,2.0,4.0,3.0,5.0,5.0,4.0,5.0,8.25,ashley g,Yes,3.5
lucha libre north park,2.0,3.5,2.0,5.0,3.5,4.0,2.5,3.5,3.5,8.25,richard,Yes,3.5
lucha libre north park,3.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,8.25,mike,Yes,4.0
lucha libre north park,1.0,4.0,3.0,3.5,3.0,5.0,4.0,2.0,4.0,8.25,sankha g,No,3.0
lucha libre north park,3.8,3.8,4.0,4.0,4.0,4.0,4.0,4.5,4.5,7.5,luis,Yes,4.4
lucha libre north park,2.5,3.0,3.0,5.0,3.5,3.0,3.5,4.5,4.5,7.5,scott,Yes,3.9
lucha libre north park,5.0,3.5,3.0,2.0,3.0,3.0,2.0,4.0,5.0,7.5,devleena,Yes,3.5
lucha libre north park,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,7.5,erik,Yes,3.0
lucha libre north park,4.5,3.5,4.0,4.5,4.0,3.5,3.5,4.0,4.5,7.5,ricardo,Yes,4.25
lucha libre north park,2.0,4.0,5.0,5.0,4.0,4.5,4.5,5.0,4.0,7.5,erin,Yes,4.5
